城市ID,行政归属,城市简称,拼音
WQNU6UJJD4RU,河南省/三门峡市/灵宝市,河南/三门峡/灵宝,Lingbao
WTB58RQWFJC5,河南省/南阳市,河南/南阳/南阳,Nanyang
WTB5BB88DRS4,河南省/南阳市/宛城区,河南/南阳/宛城,Wancheng
WTB58TBXWEYG,河南省/南阳市/卧龙区,河南/南阳/卧龙,Wolong
WMZYW6MP8US5,河南省/南阳市/南召县,河南/南阳/南召,Nanzhao
WTBM72S5FCE0,河南省/南阳市/方城县,河南/南阳/方城,Fangcheng
WMZM2F3Q038U,河南省/南阳市/西峡县,河南/南阳/西峡,Xixia
WMZGCUGMSW32,河南省/南阳市/镇平县,河南/南阳/镇平,Zhenping
WMZS10WDJYSC,河南省/南阳市/内乡县,河南/南阳/内乡,Neixiang
WMZK2Z1K0R8G,河南省/南阳市/淅川县,河南/南阳/淅川,Xichuan
WTBK1B945WX1,河南省/南阳市/社旗县,河南/南阳/社旗,Sheqi
WTB4P8B739CF,河南省/南阳市/唐河县,河南/南阳/唐河,Tanghe
WMZCH84F8XRU,河南省/南阳市/新野县,河南/南阳/新野,Xinye
WTB8HKZ2GT2E,河南省/南阳市/桐柏县,河南/南阳/桐柏,Tongbai
WMZ9YMNNV393,河南省/南阳市/邓州市,河南/南阳/邓州,Dengzhou
WW45ZXMVB36N,河南省/商丘市,河南/商丘/商丘,Shangqiu
WW45YWXD3T0C,河南省/商丘市/梁园区,河南/商丘/梁园,Liangyuan
WW45XSKNVP4C,河南省/商丘市/睢阳区,河南/商丘/睢阳,Suiyang
WW1V5GG4GKNJ,河南省/商丘市/民权县,河南/商丘/民权,Minquan
WW1GFRRMV36Y,河南省/商丘市/睢县,河南/商丘/睢县,Suixian
WW45BPMMYC2Q,河南省/商丘市/宁陵县,河南/商丘/宁陵,Ningling
WW1CZDQBHSR6,河南省/商丘市/柘城县,河南/商丘/柘城,Zhecheng
WW47SNR6S8V1,河南省/商丘市/虞城县,河南/商丘/虞城,Yucheng
WW4DDX7K1NKP,河南省/商丘市/夏邑县,河南/商丘/夏邑,Xiayi
WW4BCQVWRDK3,河南省/商丘市/永城市,河南/商丘/永城,Yongcheng
WT9NG9P4ZDHG,河南省/信阳市,河南/信阳/信阳,Xinyang
WT9NER49RVET,河南省/信阳市/浉河区,河南/信阳/浉河,Shihe
WT9NSU5T2MR4,河南省/信阳市/平桥区,河南/信阳/平桥,Pingqiao
WT9RNJY4W7J9,河南省/信阳市/罗山县,河南/信阳/罗山,Luoshan
WT9WNT5DH09S,河南省/信阳市/光山县,河南/信阳/光山,Guangshan
WT9EVYJF1525,河南省/信阳市/新县,河南/信阳/新县,Xinxian
WTDHCVP8QVSS,河南省/信阳市/商城县,河南/信阳/商城,Shangcheng
WTDR065W56GC,河南省/信阳市/固始县,河南/信阳/固始,Gushi
WT9YC946C60E,河南省/信阳市/潢川县,河南/信阳/潢川,Huangchuan
WTF03ZXWQYHT,河南省/信阳市/淮滨县,河南/信阳/淮滨,Huaibin
WTC849PU6V0D,河南省/信阳市/息县,河南/信阳/息县,Xixian
WTCX2BMDDWHP,河南省/周口市,河南/周口/周口,Zhoukou
WTCX2VDHGZTY,河南省/周口市/川汇区,河南/周口/川汇,Chuanhui
WW13FF2BPHMD,河南省/周口市/扶沟县,河南/周口/扶沟,Fugou
WW12Q1N5Q2TT,河南省/周口市/西华县,河南/周口/西华,Xihua
WTCQXZCNMT12,河南省/周口市/商水县,河南/周口/商水,Shangshui
WTCY42R3J76B,河南省/周口市/沈丘县,河南/周口/沈丘,Shenqiu
WTCZMMY16W9U,河南省/周口市/郸城县,河南/周口/郸城,Dancheng
WTCXYHM56P8X,河南省/周口市/淮阳县,河南/周口/淮阳,Huaiyang
WW19V6R0NUR4,河南省/周口市/太康县,河南/周口/太康,Taikang
WW40EVCGP195,河南省/周口市/鹿邑县,河南/周口/鹿邑,Luyi
WTCWQ97SK5CW,河南省/周口市/项城市,河南/周口/项城,Xiangcheng
WTC5DEFF6TD5,河南省/驻马店市,河南/驻马店/驻马店,Zhumadian
WTC59FGT5T22,河南省/驻马店市/驿城区,河南/驻马店/驿城,Yicheng
WTCJFSDUDE40,河南省/驻马店市/西平县,河南/驻马店/西平,Xiping
WTCM228GGCX8,河南省/驻马店市/上蔡县,河南/驻马店/上蔡,Shangcai
WTCE86P00T7N,河南省/驻马店市/平舆县,河南/驻马店/平舆,Pingyu
WTC36Y8UZ0MW,河南省/驻马店市/正阳县,河南/驻马店/正阳,Zhengyang
WTC4DE4CFE4J,河南省/驻马店市/确山县,河南/驻马店/确山,Queshan
WTBD4SMPG6H6,河南省/驻马店市/泌阳县,河南/驻马店/泌阳,Biyang
WTC7DP7NUJGG,河南省/驻马店市/汝南县,河南/驻马店/汝南,Runan
WTCHD4U28XCH,河南省/驻马店市/遂平县,河南/驻马店/遂平,Suiping
WTCF23VYS4QP,河南省/驻马店市/新蔡县,河南/驻马店/新蔡,Xincai
WW0P9B6381U6,河南省/济源市,河南/济源/济源,Jiyuan
WT3Q0FW9ZJ3Q,湖北省/武汉市,湖北/武汉/武汉,Wuhan
WT3Q15127BGF,湖北省/武汉市/江岸区,湖北/武汉/江岸,Jiangan
WT3Q05M8D0GQ,湖北省/武汉市/江汉区,湖北/武汉/江汉,Jianghan
WT3JYZUB3PKY,湖北省/武汉市/硚口区,湖北/武汉/硚口,Qiaokou
WT3JYFXEDP1P,湖北省/武汉市/汉阳区,湖北/武汉/汉阳,Hanyang
WT3MC4WT3FKT,湖北省/武汉市/武昌区,湖北/武汉/武昌,Wuchang
WT3Q6F0VYYG8,湖北省/武汉市/青山区,湖北/武汉/青山,Qingshan
WT3M9BFEN0YH,湖北省/武汉市/洪山区,湖北/武汉/洪山,Hongshan
WT3NJN4YMV8N,湖北省/武汉市/东西湖区,湖北/武汉/东西湖,Dongxihu
WT3H7VVXDGNX,湖北省/武汉市/汉南区,湖北/武汉/汉南,Hannan
WT3JFYFJ7T4T,湖北省/武汉市/蔡甸区,湖北/武汉/蔡甸,Caidian
WT3K9MJ39443,湖北省/武汉市/江夏区,湖北/武汉/江夏,Jiangxia
WT3RDE9WY1J4,湖北省/武汉市/黄陂区,湖北/武汉/黄陂,Huangpi
WT3XS24F3BU6,湖北省/武汉市/新洲区,湖北/武汉/新洲,Xinzhou
WT3GC9DRC209,湖北省/黄石市,湖北/黄石/黄石,Huangshi
WT3GFQ2E83RH,湖北省/黄石市/黄石港区,湖北/黄石/黄石港,Huangshigang
WT3GG9EZF2J9,湖北省/黄石市/西塞山区,湖北/黄石/西塞山,Xisaishan
WT3G8NNE5PV2,湖北省/黄石市/下陆区,湖北/黄石/下陆,Xialu
WT3EY9EXU019,湖北省/黄石市/铁山区,湖北/黄石/铁山,Tieshan
WT3CV6N0FE3C,湖北省/黄石市/阳新县,湖北/黄石/阳新,Yangxin
WT3G0PW95NTM,湖北省/黄石市/大冶市,湖北/黄石/大冶,Daye
WMYC8VK3H18J,湖北省/十堰市,湖北/十堰/十堰,Shiyan
WMYC3Y8SV0MN,湖北省/十堰市/茅箭区,湖北/十堰/茅箭,Maojian
WMYC8ZG8115H,湖北省/十堰市/张湾区,湖北/十堰/张湾,Zhangwan
WMYFCB88T5T4,湖北省/十堰市/郧阳区,湖北/十堰/郧阳,Yunxian
WMYE8XMQUMZE,湖北省/十堰市/郧西县,湖北/十堰/郧西,Yunxi
WMWRK77135MQ,湖北省/十堰市/竹山县,湖北/十堰/竹山,Zhushan
WMWPBEXTTK9V,湖北省/十堰市/竹溪县,湖北/十堰/竹溪,Zhuxi
WMWWRWPJK123,湖北省/十堰市/房县,湖北/十堰/房县,Fangxian
WMZ31TW3KRG1,湖北省/十堰市/丹江口市,湖北/十堰/丹江口,Danjiangkou
WMRNSHZ87YY1,湖北省/宜昌市,湖北/宜昌/宜昌,Yichang
WMRNSPPT7TUH,湖北省/宜昌市/西陵区,湖北/宜昌/西陵,Xiling
WMRNMGN3GBDB,湖北省/宜昌市/伍家岗区,湖北/宜昌/伍家岗,Wujiagang
WMRNEGFZKJCH,湖北省/宜昌市/点军区,湖北/宜昌/点军,Dianjun
WMRJXW7VJMW8,湖北省/宜昌市/猇亭区,湖北/宜昌/猇亭,Xiaoting
WMRPJ1SB0P8P,湖北省/宜昌市/夷陵区,湖北/宜昌/夷陵,Yiling
WMX2U0N7ZEBC,湖北省/宜昌市/远安县,湖北/宜昌/远安,Yuanan
WMWF25JDYP96,湖北省/宜昌市/兴山县,湖北/宜昌/兴山,Xingshan
WMQZMKMJV2TC,湖北省/宜昌市/秭归县,湖北/宜昌/秭归,Zigui
WMRJ3FYU9G8T,湖北省/宜昌市/长阳土家族自治县,湖北/宜昌/长阳,Changyang
WMQEY3ERVBJ1,湖北省/宜昌市/五峰土家族自治县,湖北/宜昌/五峰,Wufeng
WMRKBN5KV4XR,湖北省/宜昌市/宜都市,湖北/宜昌/宜都,Yidu
WMRRRDEEWB3J,湖北省/宜昌市/当阳市,湖北/宜昌/当阳,Dangyang
WMRMP7S7TG0S,湖北省/宜昌市/枝江市,湖北/宜昌/枝江,Zhijiang
WMXY3PVX93RV,湖北省/襄阳市,湖北/襄阳/襄阳,Xiangyang
WMXWPE9J39Q2,湖北省/襄阳市/襄城区,湖北/襄阳/襄城,Xiangcheng
WMXWR9FQ1X17,湖北省/襄阳市/樊城区,湖北/襄阳/樊城,Fancheng
WMXYBV9K9THS,湖北省/襄阳市/襄州区,湖北/襄阳/襄州,Xiangzhou
WMXSBC25GV7U,湖北省/襄阳市/南漳县,湖北/襄阳/南漳,Nanzhang
WMXRSDT43S40,湖北省/襄阳市/谷城县,湖北/襄阳/谷城,Gucheng
WMXJ7E9F2YSR,湖北省/襄阳市/保康县,湖北/襄阳/保康,Baokang
WMZ2JNEE5T7P,湖北省/襄阳市/老河口市,湖北/襄阳/老河口,Laohekou
WT8NV9N4C6JE,湖北省/襄阳市/枣阳市,湖北/襄阳/枣阳,Zaoyang
WMXU6Q3YQSD6,湖北省/襄阳市/宜城市,湖北/襄阳/宜城,Yicheng
WT3SYNJHF48X,湖北省/鄂州市,湖北/鄂州/鄂州,Ezhou
WT3E17UHSWMM,湖北省/鄂州市/梁子湖区,湖北/鄂州/梁子湖,Liangzihu
WT3TDX5CTXP7,湖北省/鄂州市/华容区,湖北/鄂州/华容,Huarong
WT3SYQ9ZG5M7,湖北省/鄂州市/鄂城区,湖北/鄂州/鄂城,Echeng
WMXB90VDC7PZ,湖北省/荆门市,湖北/荆门/荆门,Jingmen
WMXB9J4RH898,湖北省/荆门市/东宝区,湖北/荆门/东宝,Dongbao
WMXB1PTX96XF,湖北省/荆门市/掇刀区,湖北/荆门/掇刀,Duodao
WT2N9UF22NU3,湖北省/荆门市/沙洋县,湖北/荆门/沙洋,Shayang
WT813F662JHK,湖北省/荆门市/钟祥市,湖北/荆门/钟祥,Zhongxiang
WT82MXHBT507,湖北省/荆门市/京山市,湖北/荆门/京山,Jingshan
WT3PBQDH23US,湖北省/孝感市,湖北/孝感/孝感,Xiaogan
WT2ZZUXQMFTK,湖北省/孝感市/孝南区,湖北/孝感/孝南,Xiaonan
WT91C2YKMQPR,湖北省/孝感市/孝昌县,湖北/孝感/孝昌,Xiaochang
WT95SG5SSDX9,湖北省/孝感市/大悟县,湖北/孝感/大悟,Dawu
WT8BKRN0X55E,湖北省/孝感市/云梦县,湖北/孝感/云梦,Yunmeng
WT8B0670UF1V,湖北省/孝感市/应城市,湖北/孝感/应城,Yingcheng
WT8CFUE0ZYRZ,湖北省/孝感市/安陆市,湖北/孝感/安陆,Anlu
WT2YQ78MPNPG,湖北省/孝感市/汉川市,湖北/孝感/汉川,Hanchuan
WMRU9C7MH9C3,湖北省/荆州市,湖北/荆州,Jingzhou
WMRU6PDDV99V,湖北省/荆州市/沙市区,湖北/荆州/沙市,Shashi
WMRU9C7MH9C3,湖北省/荆州市/荆州区,湖北/荆州/荆州,Jingzhou
WMRG1F56KW32,湖北省/荆州市/公安县,湖北/荆州/公安,Gongan
WT238SSDNDUS,湖北省/荆州市/监利县,湖北/荆州/监利,Jianli
WMRFY4V9RVEX,湖北省/荆州市/江陵县,湖北/荆州/江陵,Jiangling
WMRCJSPJVCDT,湖北省/荆州市/石首市,湖北/荆州/石首,Shishou
WT29T8GV8DEK,湖北省/荆州市/洪湖市,湖北/荆州/洪湖,Honghu
WMR7XQH7JZB8,湖北省/荆州市/松滋市,湖北/荆州/松滋,Songzi
WT3TJZMB152J,湖北省/黄冈市,湖北/黄冈/黄冈,Huanggang
WT3TNHBFY1PX,湖北省/黄冈市/黄州区,湖北/黄冈/黄州,Huangzhou
WT3WMBJB9JB5,湖北省/黄冈市/团风县,湖北/黄冈/团风,Tuanfeng
WT99BNREPWDS,湖北省/黄冈市/红安县,湖北/黄冈/红安,Hongan
WT6P1GRDQZUE,湖北省/黄冈市/罗田县,湖北/黄冈/罗田,Luotian
WT6QBJU7DR7Q,湖北省/黄冈市/英山县,湖北/黄冈/英山,Yingshan
WT3VPP301EMT,湖北省/黄冈市/浠水县,湖北/黄冈/浠水,Xishui
WT65FXJW9BQQ,湖北省/黄冈市/蕲春县,湖北/黄冈/蕲春,Qichun
WT67N5CSSY3M,湖北省/黄冈市/黄梅县,湖北/黄冈/黄梅,Huangmei
WT9C3S4K9M28,湖北省/黄冈市/麻城市,湖北/黄冈/麻城,Macheng
WT61V6HBY5KC,湖北省/黄冈市/武穴市,湖北/黄冈/武穴,Wuxue
WT33C6J2C563,湖北省/咸宁市,湖北/咸宁/咸宁,Xianning
WT33BG1B7CC8,湖北省/咸宁市/咸安区,湖北/咸宁/咸安,Xianan
WT2FXCEQNM5D,湖北省/咸宁市/嘉鱼县,湖北/咸宁/嘉鱼,Jiayu
WT0YQHC1W5PQ,湖北省/咸宁市/通城县,湖北/咸宁/通城,Tongcheng
WT304G6J5X68,湖北省/咸宁市/崇阳县,湖北/咸宁/崇阳,Chongyang
WT32MUWBMRVJ,湖北省/咸宁市/通山县,湖北/咸宁/通山,Tongshan
WT2CP6KGS3D9,湖北省/咸宁市/赤壁市,湖北/咸宁/赤壁,Chibi
WT8S7Y3W2KX4,湖北省/随州市,湖北/随州/随州,Suizhou
WT8S7WJG9YYR,湖北省/随州市/曾都区,湖北/随州/曾都,Zengdou
WT8T4P1VBGB4,湖北省/随州市/随县,湖北/随州/随县,Suixian
WT8GYH1PY5PR,湖北省/随州市/广水市,湖北/随州/广水,Guangshui
WMMU75CW7CKH,湖北省/恩施土家族苗族自治州,湖北/恩施,Enshi
WMMU75CW7CKH,湖北省/恩施土家族苗族自治州/恩施市,湖北/恩施/恩施,Enshi
WMMKQGBQKCRH,湖北省/恩施土家族苗族自治州/利川市,湖北/恩施/利川,Lichuan
WMQN0FWCYM6Q,湖北省/恩施土家族苗族自治州/建始县,湖北/恩施/建始,Jianshi
WMW2WS7Z77D8,湖北省/恩施土家族苗族自治州/巴东县,湖北/恩施/巴东,Badong
WMMFE38YHVHF,湖北省/恩施土家族苗族自治州/宣恩县,湖北/恩施/宣恩,Xuanen
WMM8GG0DE34B,湖北省/恩施土家族苗族自治州/咸丰县,湖北/恩施/咸丰,Xianfeng
WMJZCMYWKYB7,湖北省/恩施土家族苗族自治州/来凤县,湖北/恩施/来凤,Laifeng
WMQ4PG1KHGFX,湖北省/恩施土家族苗族自治州/鹤峰县,湖北/恩施/鹤峰,Hefeng
WT2SV8EY0D76,湖北省/仙桃市,湖北/仙桃/仙桃,Xiantao
WT2M09U9QEH8,湖北省/潜江市,湖北/潜江/潜江,Qianjiang
WT2QRPRCSNKH,湖北省/天门市,湖北/天门/天门,Tianmen
WMW7Q9T3W529,湖北省/神农架林区,湖北/神农架/神农架,Shennongjia
WT029G15ETRJ,湖南省/长沙市,湖南/长沙/长沙,Changsha
WT027GXDDZVH,湖南省/长沙市/芙蓉区,湖南/长沙/芙蓉,Furong
WSBRGN2DUPB7,湖南省/长沙市/天心区,湖南/长沙/天心,Tianxin
WT029SWNTQ9M,湖南省/长沙市/岳麓区,湖南/长沙/岳麓,Yuelu
WT02FBTQR9TC,湖南省/长沙市/开福区,湖南/长沙/开福,Kaifu
WT02H4GSFM21,湖南省/长沙市/雨花区,湖南/长沙/雨花,Yuhua
WT01RK950X33,湖南省/长沙市/望城区,湖南/长沙/望城,Wangcheng
WT02TNDSJP30,湖南省/长沙市/长沙县,湖南/长沙/长沙县,Changshaxian
WT0B1SWCDUM4,湖南省/长沙市/浏阳市,湖南/长沙/浏阳,Liuyang
WT009NU2JJDW,湖南省/长沙市/宁乡市,湖南/长沙/宁乡,Ningxiang
WSBQQ66C8040,湖南省/株洲市,湖南/株洲/株洲,Zhuzhou
WSBQRPW5R0E0,湖南省/株洲市/荷塘区,湖南/株洲/荷塘,Hetang
WSBQNDXN4W0R,湖南省/株洲市/芦淞区,湖南/株洲/芦淞,Lusong
WSBQTGJS3ZM1,湖南省/株洲市/石峰区,湖南/株洲/石峰,Shifeng
WSBQM479QTF1,湖南省/株洲市/天元区,湖南/株洲/天元,Tianyuan
WSBMWDBCBUTQ,湖南省/株洲市/渌口区,湖南/株洲/渌口,Lukou
WSB9DGHQKKUC,湖南省/株洲市/攸县,湖南/株洲/攸县,Youxian
WSB8RQY12DPE,湖南省/株洲市/茶陵县,湖南/株洲/茶陵,Chaling
WS8YSUSC1JU8,湖南省/株洲市/炎陵县,湖南/株洲/炎陵,Yanling
WSBTQM1T7TUG,湖南省/株洲市/醴陵市,湖南/株洲/醴陵,Liling
WSBQ3F31E8P0,湖南省/湘潭市,湖南/湘潭,Xiangtan
WSBQ3PSWU03K,湖南省/湘潭市/雨湖区,湖南/湘潭/雨湖,Yuhu
WSBQDD9F5K58,湖南省/湘潭市/岳塘区,湖南/湘潭/岳塘,Yuetang
WSBQ3F31E8P0,湖南省/湘潭市/湘潭县,湖南/湘潭/湘潭,Xiangtan
WSBJB8JFGN9T,湖南省/湘潭市/湘乡市,湖南/湘潭/湘乡,Xiangxiang
WSBNBKW84135,湖南省/湘潭市/韶山市,湖南/湘潭/韶山,Shaoshan
WSB118FZZ57Y,湖南省/衡阳市,湖南/衡阳/衡阳,Hengyang
WSB148ETSU8F,湖南省/衡阳市/珠晖区,湖南/衡阳/珠晖,Zhuhui
WSB0FX94CB94,湖南省/衡阳市/雁峰区,湖南/衡阳/雁峰,Yanfeng
WSB161E8EB7F,湖南省/衡阳市/石鼓区,湖南/衡阳/石鼓,Shigu
WSB117TP0EC6,湖南省/衡阳市/蒸湘区,湖南/衡阳/蒸湘,Zhengxiang
WSB5J0XQZ2HM,湖南省/衡阳市/南岳区,湖南/衡阳/南岳,Nanyue
WKZCMJ9RDU2U,湖南省/衡阳市/衡阳县,湖南/衡阳/衡阳县,Hengyangxian
WSB05F5C931H,湖南省/衡阳市/衡南县,湖南/衡阳/衡南,Hengnan
WSB6BMJ6JXGV,湖南省/衡阳市/衡山县,湖南/衡阳/衡山,Hengshan
WSB641Z8MVBK,湖南省/衡阳市/衡东县,湖南/衡阳/衡东,Hengdong
WKZ8R75KC3G6,湖南省/衡阳市/祁东县,湖南/衡阳/祁东,Qidong
WS8NRCWGESFY,湖南省/衡阳市/耒阳市,湖南/衡阳/耒阳,Leiyang
WKXYM38EEUCW,湖南省/衡阳市/常宁市,湖南/衡阳/常宁,Changning
WKZ7089YZ20M,湖南省/邵阳市,湖南/邵阳/邵阳,Shaoyang
WKZ6CN1JMM0C,湖南省/邵阳市/双清区,湖南/邵阳/双清,Shuangqing
WKZ4ZSP7H0ES,湖南省/邵阳市/大祥区,湖南/邵阳/大祥,Daxiang
WKZ7008UVZQF,湖南省/邵阳市/北塔区,湖南/邵阳/北塔,Beita
WKZ7NBTYG8PM,湖南省/邵阳市/邵东县,湖南/邵阳/邵东,Shaodong
WKZ72J7QT1P7,湖南省/邵阳市/新邵县,湖南/邵阳/新邵,Xinshao
WKZ1S50Q6UV9,湖南省/邵阳市/邵阳县,湖南/邵阳/邵阳县,Shaoyangxian
WKYFQ9196W2T,湖南省/邵阳市/隆回县,湖南/邵阳/隆回,Longhui
WKY9UH69ETRX,湖南省/邵阳市/洞口县,湖南/邵阳/洞口,Dongkou
WKWR4W8Z9P0U,湖南省/邵阳市/绥宁县,湖南/邵阳/绥宁,Suining
WKWY67QTBJNG,湖南省/邵阳市/新宁县,湖南/邵阳/新宁,Xinning
WKWQN2S86K61,湖南省/邵阳市/城步苗族自治县,湖南/邵阳/城步,Chengbu
WKY8J6N39C4U,湖南省/邵阳市/武冈市,湖南/邵阳/武冈,Wugang
WT0RN4EKXHCD,湖南省/岳阳市,湖南/岳阳,Yueyang
WT0RN5QNW4KR,湖南省/岳阳市/岳阳楼区,湖南/岳阳/岳阳楼,Yueyanglou
WT0X9MY4SEDS,湖南省/岳阳市/云溪区,湖南/岳阳/云溪,Yunxi
WT0RE7SWF39G,湖南省/岳阳市/君山区,湖南/岳阳/君山,Junshan
WT0RN4EKXHCD,湖南省/岳阳市/岳阳县,湖南/岳阳/岳阳,Yueyang
WT0PCTFYRNGG,湖南省/岳阳市/华容县,湖南/岳阳/华容,Huarong
WT070TH9NEKX,湖南省/岳阳市/湘阴县,湖南/岳阳/湘阴,Xiangyin
WT0G2S66JU43,湖南省/岳阳市/平江县,湖南/岳阳/平江,Pingjiang
WT07V4YK4VP7,湖南省/岳阳市/汨罗市,湖南/岳阳/汨罗,Miluo
WT0XWNDM6WK3,湖南省/岳阳市/临湘市,湖南/岳阳/临湘,Linxiang
WMPMM26US87X,湖南省/常德市,湖南/常德/常德,Changde
WMPMM3CHK06D,湖南省/常德市/武陵区,湖南/常德/武陵,Wuling
WMPMJ5PRMJ98,湖南省/常德市/鼎城区,湖南/常德/鼎城,Dingcheng
WMPZ27XXYMQP,湖南省/常德市/安乡县,湖南/常德/安乡,Anxiang
WMPS7VN4DN7R,湖南省/常德市/汉寿县,湖南/常德/汉寿,Hanshou
WMR2WCVZ78R6,湖南省/常德市/澧县,湖南/常德/澧县,Lixian
WMPRS9JN9TFH,湖南省/常德市/临澧县,湖南/常德/临澧,Linli
WMPK2V168Q2Z,湖南省/常德市/桃源县,湖南/常德/桃源,Taoyuan
WMR0Q8B7YPEM,湖南省/常德市/石门县,湖南/常德/石门,Shimen
WMR89EV1XBMZ,湖南省/常德市/津市市,湖南/常德/津市,Jinshi
WMNT9YCY99D6,湖南省/张家界市,湖南/张家界/张家界,Zhangjiajie
WMNTEJXJNE5N,湖南省/张家界市/永定区,湖南/张家界/永定,Yongding
WMNWGPJ2PST9,湖南省/张家界市/武陵源区,湖南/张家界/武陵源,Wulingyuan
WMPP2EEPGTMR,湖南省/张家界市/慈利县,湖南/张家界/慈利,Cili
WMNR680G3J0Z,湖南省/张家界市/桑植县,湖南/张家界/桑植,Sangzhi
WMPFEYKZJDQM,湖南省/益阳市,湖南/益阳/益阳,Yiyang
WMPFEV7VN8Z5,湖南省/益阳市/资阳区,湖南/益阳/资阳,Ziyang
WMPFTN3R4F2V,湖南省/益阳市/赫山区,湖南/益阳/赫山区,Heshanqu
WMPZJSRNVUFW,湖南省/益阳市/南县,湖南/益阳/南县,Nanxian
WMPDR3ER337R,湖南省/益阳市/桃江县,湖南/益阳/桃江,Taojiang
WMP16Y7VMZ6Y,湖南省/益阳市/安化县,湖南/益阳/安化,Anhua
WMPUJ7BX7VC9,湖南省/益阳市/沅江市,湖南/益阳/沅江,Yuanjiang
WS86EV4EKUK4,湖南省/郴州市,湖南/郴州/郴州,Chenzhou
WS86EW2H7GJD,湖南省/郴州市/北湖区,湖南/郴州/北湖,Beihu
WS86U09ZVUSD,湖南省/郴州市/苏仙区,湖南/郴州/苏仙,Suxian
WS84MHP2P7SK,湖南省/郴州市/桂阳县,湖南/郴州/桂阳,Guiyang
WS826PZTTZ0M,湖南省/郴州市/宜章县,湖南/郴州/宜章,Yizhang
WS8KTSUFM103,湖南省/郴州市/永兴县,湖南/郴州/永兴,Yongxing
WKXCT09Q6C8G,湖南省/郴州市/嘉禾县,湖南/郴州/嘉禾,Jiahe
WS2PC4H6TJD9,湖南省/郴州市/临武县,湖南/郴州/临武,Linwu
WS8C6G5PXCPY,湖南省/郴州市/汝城县,湖南/郴州/汝城,Rucheng
WS9H2E9R12M7,湖南省/郴州市/桂东县,湖南/郴州/桂东,Guidong
WS8XCS8DY29X,湖南省/郴州市/安仁县,湖南/郴州/安仁,Anren
WS8EB9E86PP2,湖南省/郴州市/资兴市,湖南/郴州/资兴,Zixing
WKXQ7GRJYT07,湖南省/永州市,湖南/永州/永州,Yongzhou
WKXMHN5QNGN0,湖南省/永州市/零陵区,湖南/永州/零陵,Lingling
WKXQ7E2TUMP7,湖南省/永州市/冷水滩区,湖南/永州/冷水滩,Lengshuitan
WKXX1NWXTZHU,湖南省/永州市/祁阳县,湖南/永州/祁阳,Qiyang
WKXNHJZX5UWN,湖南省/永州市/东安县,湖南/永州/东安,Dongan
WKX7SXTN1WFH,湖南省/永州市/双牌县,湖南/永州/双牌,Shuangpai
WKX35PD542YQ,湖南省/永州市/道县,湖南/永州/道县,Daoxian
WKRPV6H49J8C,湖南省/永州市/江永县,湖南/永州/江永,Jiangyong
WKX9EH2FY1CH,湖南省/永州市/宁远县,湖南/永州/宁远,Ningyuan
WKXB2DQYZQY8,湖南省/永州市/蓝山县,湖南/永州/蓝山,Lanshan
WKXG3WS4GW0Y,湖南省/永州市/新田县,湖南/永州/新田,Xintian
WKRR5PFH4KNQ,湖南省/永州市/江华瑶族自治县,湖南/永州/江华,Jianghua
WKYHZ4GWCU8B,湖南省/怀化市,湖南/怀化/怀化,Huaihua
WKYHZVJMT0CG,湖南省/怀化市/鹤城区,湖南/怀化/鹤城,Hecheng
WKY5VS08DDJN,湖南省/怀化市/中方县,湖南/怀化/中方,Zhongfang
WMN3ZYB3B2TM,湖南省/怀化市/沅陵县,湖南/怀化/沅陵,Yuanling
WKYR71NXU469,湖南省/怀化市/辰溪县,湖南/怀化/辰溪,Chenxi
WKYWU69VUC0P,湖南省/怀化市/溆浦县,湖南/怀化/溆浦,Xupu
WKY0BEX9J71C,湖南省/怀化市/会同县,湖南/怀化/会同,Huitong
WKYND99FT2W1,湖南省/怀化市/麻阳苗族自治县,湖南/怀化/麻阳,Mayang
WKVESNX1V3U1,湖南省/怀化市/新晃侗族自治县,湖南/怀化/新晃,Xinhuang
WKVUPV4EC4ZS,湖南省/怀化市/芷江侗族自治县,湖南/怀化/芷江,Zhijiang
WKTZPYDX9PPS,湖南省/怀化市/靖州苗族侗族自治县,湖南/怀化/靖州,Jingzhou
WKWHFH5773SF,湖南省/怀化市/通道侗族自治县,湖南/怀化/通道,Tongdao
WKY4EP87RRX0,湖南省/怀化市/洪江市,湖南/怀化/洪江,Hongjiang
WKZTU85FVNSV,湖南省/娄底市,湖南/娄底/娄底,Loudi
WKZTU89M9NDC,湖南省/娄底市/娄星区,湖南/娄底/娄星,Louxing
WKZU1JJEC6ZU,湖南省/娄底市/双峰县,湖南/娄底/双峰,Shuangfeng
WKZJUEWPMYZJ,湖南省/娄底市/新化县,湖南/娄底/新化,Xinhua
WKZJRWUZEJYP,湖南省/娄底市/冷水江市,湖南/娄底/冷水江,Lengshuijiang
WKZMT4ES5W70,湖南省/娄底市/涟源市,湖南/娄底/涟源,Lianyuan
WMN114DHVC2T,湖南省/湘西土家族苗族自治州,湖南/湖南/湘西,Xiangxi
WMN10GQZYQDK,湖南省/湘西土家族苗族自治州/吉首市,湖南/湘西/吉首,Jishou
WMN2S17C2JKC,湖南省/湘西土家族苗族自治州/泸溪县,湖南/湘西/泸溪,Luxi
WKVZN00K91EK,湖南省/湘西土家族苗族自治州/凤凰县,湖南/湘西/凤凰,Fenghuang
