城市ID,行政归属,城市简称,拼音
WWCJN0RMDUFV,河北省/保定市/阜平县,河北/保定/阜平,Fuping
WWFR6KVHKD8D,河北省/保定市/定兴县,河北/保定/定兴,Dingxing
WWCU2QJZH5W1,河北省/保定市/唐县,河北/保定/唐县,Tangxian
WWFK49KRMD97,河北省/保定市/高阳县,河北/保定/高阳,Gaoyang
WWFQHSVFWXW5,河北省/保定市/容城县,河北/保定/容城,Rongcheng
WWCXCE7QMETV,河北省/保定市/涞源县,河北/保定/涞源,Laiyuan
WWCUK2C8M7PH,河北省/保定市/望都县,河北/保定/望都,Wangdu
WWFMQJ1TKVC7,河北省/保定市/安新县,河北/保定/安新,Anxin
WWFPU72W35DJ,河北省/保定市/易县,河北/保定/易县,Yixian
WWCEDN9CZ9YC,河北省/保定市/曲阳县,河北/保定/曲阳,Quyang
WWF4VV5D0PVV,河北省/保定市/蠡县,河北/保定/蠡县,Lixian
WWCUGUG15KWH,河北省/保定市/顺平县,河北/保定/顺平,Shunping
WWF4EXDEQP88,河北省/保定市/博野县,河北/保定/博野,Boye
WWFTCBJ6YNDT,河北省/保定市/雄县,河北/保定/雄县,Xiongxian
WX42WGNG8V7T,河北省/保定市/涿州市,河北/保定/涿州,Zhuozhou
WWCG0HQE70MQ,河北省/保定市/定州市,河北/保定/定州,Dingzhou
WWF484JKWZ07,河北省/保定市/安国市,河北/保定/安国,Anguo
WWFRSPZ3UEMH,河北省/保定市/高碑店市,河北/保定/高碑店,Gaobeidian
WX38NPJ1DP88,河北省/张家口市,河北/张家口/张家口,Zhangjiakou
WX38N3543Y5E,河北省/张家口市/桥东区,河北/张家口/桥东,Qiaodong
WX38JY8ZKHXS,河北省/张家口市/桥西区,河北/张家口/桥西,Qiaoxi
WX1YFP0B5K9C,河北省/张家口市/宣化区,河北/张家口/宣化,Xuanhua
WX1YRM11239W,河北省/张家口市/下花园区,河北/张家口/下花园,Xiahuayuan
WX1XFD29CWXF,河北省/张家口市/万全区,河北/张家口/万全,Wanquan
WX3CP43599T9,河北省/张家口市/崇礼区,河北/张家口/崇礼,Chongli
WX3D451UPEYZ,河北省/张家口市/张北县,河北/张家口/张北,Zhangbei
WX3W04X9ZT6W,河北省/张家口市/康保县,河北/张家口/康保,Kangbao
WX6M0CF1M7HB,河北省/张家口市/沽源县,河北/张家口/沽源,Guyuan
WX319QQKM7P3,河北省/张家口市/尚义县,河北/张家口/尚义,Shangyi
WX16XN7R46RV,河北省/张家口市/蔚县,河北/张家口/蔚县,Yuxian
WX1HNP85CY46,河北省/张家口市/阳原县,河北/张家口/阳原,Yangyuan
WX1R7EWPGJRZ,河北省/张家口市/怀安县,河北/张家口/怀安,Huaian
WX4JUDX551G5,河北省/张家口市/怀来县,河北/张家口/怀来,Huailai
WX1VTYUWS9E4,河北省/张家口市/涿鹿县,河北/张家口/涿鹿,Zhuolu
WX62GC2B68GG,河北省/张家口市/赤城县,河北/张家口/赤城,Chicheng
WX7C5D6581T3,河北省/承德市,河北/承德/承德,Chengde
WX7C5DZJSF0K,河北省/承德市/双桥区,河北/承德/双桥,Shuangqiao
WX7C02NE1C46,河北省/承德市/双滦区,河北/承德/双滦,Shuangluan
WX5WTM1EG05G,河北省/承德市/鹰手营子矿区,河北/承德/鹰手营,Yingshouying
WXHPCJBY2WF7,河北省/承德市/承德县,河北/承德/承德县,Chengdexian
WX5W40P3Y6R2,河北省/承德市/兴隆县,河北/承德/兴隆,Xinglong
WX72VGJ4E1J0,河北省/承德市/滦平县,河北/承德/滦平,Luanping
WX7ENF146Y60,河北省/承德市/隆化县,河北/承德/隆化,Longhua
WX6FQKJZQH8M,河北省/承德市/丰宁满族自治县,河北/承德/丰宁,Fengning
WXHQBP480HE1,河北省/承德市/宽城满族自治县,河北/承德/宽城,Kuancheng
WX7WX3NGVYE8,河北省/承德市/围场满族蒙古族自治县,河北/承德/围场,Weichang
WXK3HXU4K3VY,河北省/承德市/平泉市,河北/承德/平泉,Pingquan
WWG1FS318M6P,河北省/沧州市,河北/沧州/沧州,Cangzhou
WWG1GNZ4XV45,河北省/沧州市/新华区,河北/沧州/新华,Xinhua
WWG1FQN3QJUR,河北省/沧州市/运河区,河北/沧州/运河,Yunhe
WWG1GKQ1SMKP,河北省/沧州市/沧县,河北/沧州/沧县,Cangxian
WWG56R38Z332,河北省/沧州市/青县,河北/沧州/青县,Qingxian
WWDZ7XYDCZCC,河北省/沧州市/东光县,河北/沧州/东光,Dongguang
WWG8CM6767JJ,河北省/沧州市/海兴县,河北/沧州/海兴,Haixing
WWG27QUCRFP5,河北省/沧州市/盐山县,河北/沧州/盐山,Yanshan
WWF6EGBYFX5Z,河北省/沧州市/肃宁县,河北/沧州/肃宁,Suning
WWFBRE4KG1FF,河北省/沧州市/南皮县,河北/沧州/南皮,Nanpi
WWDY02926S39,河北省/沧州市/吴桥县,河北/沧州/吴桥,Wuqiao
WWF94QKN85GE,河北省/沧州市/献县,河北/沧州/献县,Xianxian
WWG28DMTGF2E,河北省/沧州市/孟村回族自治县,河北/沧州/孟村,Mengcun
WWFBSD7TVF7G,河北省/沧州市/泊头市,河北/沧州/泊头,Botou
WWFS3BV2Q54S,河北省/沧州市/任丘市,河北/沧州/任丘,Renqiu
WWG6Q359MNQJ,河北省/沧州市/黄骅市,河北/沧州/黄骅,Huanghua
WWFD97YYUP1R,河北省/沧州市/河间市,河北/沧州/河间,Hejian
WX4BZD6KEJFY,河北省/廊坊市,河北/廊坊/廊坊,Langfang
WX4BXR409T9P,河北省/廊坊市/安次区,河北/廊坊/安次,Anci
WX4BZDTY2B9D,河北省/廊坊市/广阳区,河北/廊坊/广阳,Guangyang
WX48Q6P06KTR,河北省/廊坊市/固安县,河北/廊坊/固安,Guan
WWFZEJBXWG20,河北省/廊坊市/永清县,河北/廊坊/永清,Yongqing
WX54NRUV1974,河北省/廊坊市/香河县,河北/廊坊/香河,Xianghe
WWFUJVP7GFZH,河北省/廊坊市/大城县,河北/廊坊/大城,Dacheng
WWFV4K4F5TNT,河北省/廊坊市/文安县,河北/廊坊/文安,Wenan
WX54VGYJZDF4,河北省/廊坊市/大厂回族自治县,河北/廊坊/大厂,Dachang
WWFY2TZYH86C,河北省/廊坊市/霸州市,河北/廊坊/霸州,Bazhou
WX55RYPU2SNV,河北省/廊坊市/三河市,河北/廊坊/三河,Sanhe
WWDQ8KE95MGB,河北省/衡水市,河北/衡水/衡水,Hengshui
WWDQ8J7UXJP4,河北省/衡水市/桃城区,河北/衡水/桃城,Taocheng
WWDJTZ7T05TG,河北省/衡水市/冀州区,河北/衡水/冀州,Jizhou
WWDM3Q29Z6YJ,河北省/衡水市/枣强县,河北/衡水/枣强,Zaoqiang
WWDRHUVJRWYX,河北省/衡水市/武邑县,河北/衡水/武邑,Wuyi
WWF2R5NHCCU4,河北省/衡水市/武强县,河北/衡水/武强,Wuqiang
WWF33X81BKW8,河北省/衡水市/饶阳县,河北/衡水/饶阳,Raoyang
WWF1KXX1GHE0,河北省/衡水市/安平县,河北/衡水/安平,Anping
WWDKQZQG8BES,河北省/衡水市/故城县,河北/衡水/故城,Gucheng
WWDWMZ14RM7E,河北省/衡水市/景县,河北/衡水/景县,Jingxian
WWDX7N1BEPTM,河北省/衡水市/阜城县,河北/衡水/阜城,Fucheng
WWF0M3KFW1SY,河北省/衡水市/深州市,河北/衡水/深州,Shenzhou
WW8P3NH2TPDT,山西省/太原市,山西/太原/太原,Taiyuan
WW8N9SDCPJGB,山西省/太原市/小店区,山西/太原/小店区,Xiaodianqu
WW8P3K9XEM94,山西省/太原市/迎泽区,山西/太原/迎泽,Yingze
WW8P96QC7QG2,山西省/太原市/杏花岭区,山西/太原/杏花岭,Xinghualing
WQXZZ8CQMBQZ,山西省/太原市/尖草坪区,山西/太原/尖草坪区,Jiancaopingqu
WW8P25YZ9Y3R,山西省/太原市/万柏林区,山西/太原/万柏林,Wanbailin
WQXYX3ENTGXR,山西省/太原市/晋源区,山西/太原/晋源,Jinyuan
WQXVUSFGBSPB,山西省/太原市/清徐县,山西/太原/清徐,Qingxu
WWB0EF7VC635,山西省/太原市/阳曲县,山西/太原/阳曲,Yangqu
WQZ2XD7TYF35,山西省/太原市/娄烦县,山西/太原/娄烦,Loufan
WQXZ8RPSN2Q4,山西省/太原市/古交市,山西/太原/古交,Gujiao
WX0S40QDCME0,山西省/大同市,山西/大同/大同,Datong
WX0MN2HGDW9C,山西省/大同市/新荣区,山西/大同/新荣,Xinrong
WX0ECZRGWVHT,山西省/大同市/平城区,山西/大同/平城,Pingcheng
WX07WD7XW8FZ,山西省/大同市/云冈区,山西/大同/云冈,Yungang
WX0G9P0ZXUG7,山西省/大同市/云州区,山西/大同/云州,Datongxian
WX0VSMNHR17W,山西省/大同市/阳高县,山西/大同/阳高,Yanggao
WX1JGYNX8DJ7,山西省/大同市/天镇县,山西/大同/天镇,Tianzhen
WX160XBJJ124,山西省/大同市/广灵县,山西/大同/广灵,Guangling
WX10R658RUTR,山西省/大同市/灵丘县,山西/大同/灵丘,Lingqiu
WX0CFG5JRBRU,山西省/大同市/浑源县,山西/大同/浑源,Hunyuan
WX05S9C8UK6Y,山西省/大同市/左云县,山西/大同/左云,Zuoyun
WW8Z267HHZ3U,山西省/阳泉市,山西/阳泉,Yangquan
WW8Z267HHZ3U,山西省/阳泉市/城区,山西/阳泉/阳泉,Yangquan
WW8Z27W1UTPU,山西省/阳泉市/矿区,山西/阳泉/矿区,Kuangqu
WW8ZBG80FZ2F,山西省/阳泉市/郊区,山西/阳泉/郊区,Jiaoqu
WW8Z13R8CYSX,山西省/阳泉市/平定县,山西/阳泉/平定,Pingding
WWB8SKR25D88,山西省/阳泉市/盂县,山西/阳泉/盂县,Yuxian
WW2MYN52R11E,山西省/长治市,山西/长治/长治,Changzhi
WW2MYN8DKWC5,山西省/长治市/潞州区,山西/长治/潞州,Luzhou
WW2MH7KCBNT6,山西省/长治市/上党区,山西/长治/上党,Shangdang
WW2Q8EUEQDSX,山西省/长治市/屯留区,山西/长治/屯留,Tunliu
WW2W8MSM94YG,山西省/长治市/潞城区,山西/长治/潞城,Lucheng
WW2RUD06XVT9,山西省/长治市/襄垣县,山西/长治/襄垣,Xiangyuan
WW2TVNJ0Q947,山西省/长治市/平顺县,山西/长治/平顺,Pingshun
WW2XSH8GCMPS,山西省/长治市/黎城县,山西/长治/黎城,Licheng
WW2MRZMWR0JB,山西省/长治市/壶关县,山西/长治/壶关,Huguan
WW2M2RMQM85B,山西省/长治市/长子县,山西/长治/长子,Zhangzi
WW81XBWY79DG,山西省/长治市/武乡县,山西/长治/武乡,Wuxiang
WW81HD1SK2DC,山西省/长治市/沁县,山西/长治/沁县,Qinxian
WQRZSHS5YTNU,山西省/长治市/沁源县,山西/长治/沁源,Qinyuan
WW23BS9T8PB1,山西省/晋城市,山西/晋城,Jincheng
WW23BS9T8PB1,山西省/晋城市/城区,山西/晋城/晋城,Jincheng
WQRFBXQGP6ND,山西省/晋城市/沁水县,山西/晋城/沁水,Qinshui
WQRCY4VTZZ7E,山西省/晋城市/阳城县,山西/晋城/阳城,Yangcheng
WW2E9989W73T,山西省/晋城市/陵川县,山西/晋城/陵川,Lingchuan
WW21ZW863X9U,山西省/晋城市/泽州县,山西/晋城/泽州,Zezhou
WW279T1Y4EWW,山西省/晋城市/高平市,山西/晋城/高平,Gaoping
WQZZWRV1BGKH,山西省/朔州市,山西/朔州/朔州,Shuozhou
WQZZWM9DTY1H,山西省/朔州市/朔城区,山西/朔州/朔城,Shuocheng
WRP8ZK5QCQ57,山西省/朔州市/平鲁区,山西/朔州/平鲁,Pinglu
WX00Z63H8TCQ,山西省/朔州市/山阴县,山西/朔州/山阴,Shanyin
WX02ZRZ5MNKG,山西省/朔州市/应县,山西/朔州/应县,Yingxian
WRPGRQ4HKUNM,山西省/朔州市/右玉县,山西/朔州/右玉,Youyu
WX06T4Y6DFPK,山西省/朔州市/怀仁市,山西/朔州/怀仁,Huairen
WW8NMEQJCMJE,山西省/晋中市,山西/晋中/晋中,Jinzhong
WW8NMWF7B000,山西省/晋中市/榆次区,山西/晋中/榆次,Yuci
WW86FSQHRUC7,山西省/晋中市/榆社县,山西/晋中/榆社,Yushe
WW8DGU3S2KZ5,山西省/晋中市/左权县,山西/晋中/左权,Zuoquan
WW8U27EPHB3G,山西省/晋中市/和顺县,山西/晋中/和顺,Heshun
WW8Y529B6H2C,山西省/晋中市/昔阳县,山西/晋中/昔阳,Xiyang
WW8RRRZ4VPUC,山西省/晋中市/寿阳县,山西/晋中/寿阳,Shouyang
WW8HCHH7M1DD,山西省/晋中市/太谷县,山西/晋中/太谷,Taigu
WQXUKPK5W8WU,山西省/晋中市/祁县,山西/晋中/祁县,Qixian
WQXG82RTNQQ4,山西省/晋中市/平遥县,山西/晋中/平遥,Pingyao
WQX3XKK6VCBS,山西省/晋中市/灵石县,山西/晋中/灵石,Lingshi
WQXDDV1EMH2D,山西省/晋中市/介休市,山西/晋中/介休,Jiexiu
WQNZJRJNM3JV,山西省/运城市,山西/运城/运城,Yuncheng
WQNZMBKZZMSR,山西省/运城市/盐湖区,山西/运城/盐湖,Yanhu
WQNZBWU784FT,山西省/运城市/临猗县,山西/运城/临猗,Linyi
WQQC9BPBQNTD,山西省/运城市/万荣县,山西/运城/万荣,Wanrong
WQR14G7BTVDG,山西省/运城市/闻喜县,山西/运城/闻喜,Wenxi
WQQFT0VCH2VR,山西省/运城市/稷山县,山西/运城/稷山,Jishan
WQR4DU7VTC6B,山西省/运城市/新绛县,山西/运城/新绛,Xinjiang
WQR3FFFVCRME,山西省/运城市/绛县,山西/运城/绛县,Jiangxian
WQR2V45T7SGN,山西省/运城市/垣曲县,山西/运城/垣曲,Yuanqu
WQPPFYGGTFFV,山西省/运城市/夏县,山西/运城/夏县,Xiaxian
WQPN4UEGMYDF,山西省/运城市/平陆县,山西/运城/平陆,Pinglu
WQNTQSFWNUVD,山西省/运城市/芮城县,山西/运城/芮城,Ruicheng
WQNW2TTQSRR8,山西省/运城市/永济市,山西/运城/永济,Yongji
WQQDX0C30BYX,山西省/运城市/河津市,山西/运城/河津,Hejin
WWB4T4PKXRH7,山西省/忻州市,山西/忻州/忻州,Xinzhou
WWB4MRNMS0C8,山西省/忻州市/忻府区,山西/忻州/忻府,Xinfu
WWB6FJPDJZBM,山西省/忻州市/定襄县,山西/忻州/定襄,Dingxiang
WWBS34D4S729,山西省/忻州市/五台县,山西/忻州/五台县,Wutaixian
WWBQ60RXJZBK,山西省/忻州市/代县,山西/忻州/代县,Daixian
WWBWCHD0H32E,山西省/忻州市/繁峙县,山西/忻州/繁峙,Fanshi
WQZVG7WR7WVJ,山西省/忻州市/宁武县,山西/忻州/宁武,Ningwu
WQZD710CQN3J,山西省/忻州市/静乐县,山西/忻州/静乐,Jingle
WQZY34M992PB,山西省/忻州市/神池县,山西/忻州/神池,Shenchi
WQZT31W8VVSF,山西省/忻州市/五寨县,山西/忻州/五寨,Wuzhai
WQZK4V4GC6VS,山西省/忻州市/岢岚县,山西/忻州/岢岚,Kelan
WRP00BFMHSJF,山西省/忻州市/河曲县,山西/忻州/河曲,Hequ
WQYBPZT229EC,山西省/忻州市/保德县,山西/忻州/保德,Baode
WRP234PB6K9Z,山西省/忻州市/偏关县,山西/忻州/偏关,Pianguan
WWBHKD9DS76C,山西省/忻州市/原平市,山西/忻州/原平,Yuanping
WQRM38NMHR7P,山西省/临汾市,山西/临汾/临汾,Linfen
WQRM4ZVRFJJK,山西省/临汾市/尧都区,山西/临汾/尧都,Yaodou
WQR68W1ZZ32K,山西省/临汾市/曲沃县,山西/临汾/曲沃,Quwo
WQR7Q22N2DVB,山西省/临汾市/翼城县,山西/临汾/翼城,Yicheng
WQRHPEUB5HY0,山西省/临汾市/襄汾县,山西/临汾/襄汾,Xiangfen
WQRQJP5EE9G0,山西省/临汾市/洪洞县,山西/临汾/洪洞,Hongtong
WQRW6FC8J409,山西省/临汾市/古县,山西/临汾/古县,Guxian
WQRVDKCVN86M,山西省/临汾市/安泽县,山西/临汾/安泽,Anze
WQRS8U0H7VGZ,山西省/临汾市/浮山县,山西/临汾/浮山,Fushan
WQQTQEF9WZV8,山西省/临汾市/吉县,山西/临汾/吉县,Jixian
WQQU9UPUQJVX,山西省/临汾市/乡宁县,山西/临汾/乡宁,Xiangning
WQQZ2PJTNHC2,山西省/临汾市/大宁县,山西/临汾/大宁,Daning
WQWBU30BBRG5,山西省/临汾市/隰县,山西/临汾/隰县,Xixian
WQW9JMY2CBFC,山西省/临汾市/永和县,山西/临汾/永和,Yonghe
WQQZPWJCZS56,山西省/临汾市/蒲县,山西/临汾/蒲县,Puxian
WQX26ZFV9RJT,山西省/临汾市/汾西县,山西/临汾/汾西,Fenxi
WQR4TU6TE13B,山西省/临汾市/侯马市,山西/临汾/侯马,Houma
WQX2N3258WJG,山西省/临汾市/霍州市,山西/临汾/霍州,Huozhou
WQXJ2UGJEGPU,山西省/吕梁市,山西/吕梁/吕梁,Lvliang
WQXJ2Y63UDVV,山西省/吕梁市/离石区,山西/吕梁/离石,Lishi
WQXSVJFMX1WP,山西省/吕梁市/文水县,山西/吕梁/文水,Wenshui
WQXV85C0S7M4,山西省/吕梁市/交城县,山西/吕梁/交城,Jiaocheng
WQZ4BE5PGXV2,山西省/吕梁市/兴县,山西/吕梁/兴县,Xingxian
